convective_available_potential_energy,k_index,cross_totals_index,vertical_totals_index,lifted_index,showalter_index,temp_1000_hpa,dewpoint_1000_hpa,temp_850_hpa,dewpoint_850_hpa,temp_700_hpa,dewpoint_700_hpa,temp_500_hpa,dewpoint_500_hpa,rain
1065.78,33.2,19.0,23.5,-3.14,1.03,27.8,23.2,19.0,14.5,10.8,6.0,-4.5,-9.1,1
1190.98,35.8,21.7,22.5,-2.89,-1.17,26.6,23.3,18.0,17.2,10.8,6.9,-4.5,-6.2,1
1050.15,39.0,21.1,22.1,-2.15,-0.75,25.8,23.3,18.4,17.4,10.4,9.9,-3.7,-6.8,1
1050.15,39.0,21.1,22.1,-2.15,-0.75,25.8,23.3,18.4,17.4,10.4,9.9,-3.7,-6.8,1
531.85,36.0,22.3,23.5,-2.69,-1.95,25.4,22.9,18.4,17.2,11.2,6.5,-5.1,-8.2,1
531.85,36.0,22.3,23.5,-2.69,-1.95,25.4,22.9,18.4,17.2,11.2,6.5,-5.1,-8.2,0
700.71,32.4,19.4,23.1,-1.95,0.67,27.0,22.8,19.0,15.3,11.8,5.8,-4.1,12.1,0
700.71,32.4,19.4,23.1,-1.95,0.67,27.0,22.8,19.0,15.3,11.8,5.8,-4.1,12.1,0
1120.55,31.2,18.0,22.7,-1.84,1.94,25.8,23.3,19.2,14.5,11.4,5.4,-3.5,16.5,0
1120.55,31.2,18.0,22.7,-1.84,1.94,25.8,23.3,19.2,14.5,11.4,5.4,-3.5,16.5,1
1385.84,30.1,19.3,22.1,-2.34,0.88,27.4,23.9,18.8,16.0,10.0,2.0,-3.3,23.3,0
1385.84,30.1,19.3,22.1,-2.34,0.88,27.4,23.9,18.8,16.0,10.0,2.0,-3.3,23.3,0
470.86,22.4,17.2,21.7,-0.38,2.75,27.6,21.6,19.2,14.7,12.0,-2.0,-2.5,15.5,0
470.86,22.4,17.2,21.7,-0.38,2.75,27.6,21.6,19.2,14.7,12.0,-2.0,-2.5,15.5,1
1353.05,33.9,17.6,22.3,-2.22,2.25,26.0,24.4,19.4,14.7,10.2,7.1,-2.9,12.9,0
1353.05,33.9,17.6,22.3,-2.22,2.25,26.0,24.4,19.4,14.7,10.2,7.1,-2.9,12.9,0
581.12,31.9,18.1,24.1,-2.35,1.5,26.8,23.5,19.8,13.8,11.2,5.2,-4.3,-4.8,0
581.12,31.9,18.1,24.1,-2.35,1.5,26.8,23.5,19.8,13.8,11.2,5.2,-4.3,-4.8,1
198.47,30.8,21.2,24.7,-1.71,-1.39,25.2,22.1,19.6,16.1,11.4,1.4,-5.1,-6.6,1
185.37,36.2,19.6,24.1,-1.3,0.35,25.8,21.9,19.2,14.7,10.0,7.4,-4.9,11.9,0
185.37,36.2,19.6,24.1,-1.3,0.35,25.8,21.9,19.2,14.7,10.0,7.4,-4.9,11.9,1
774.45,35.8,19.5,24.5,-2.57,0.09,27.6,23.0,20.0,15.0,11.0,7.3,-4.5,-5.7,1
774.45,35.8,19.5,24.5,-2.57,0.09,27.6,23.0,20.0,15.0,11.0,7.3,-4.5,-5.7,0
260.48,36.1,20.0,23.3,-1.33,0.08,26.0,22.3,19.0,15.7,10.4,7.5,-4.3,-7.1,0
260.48,36.1,20.0,23.3,-1.33,0.08,26.0,22.3,19.0,15.7,10.4,7.5,-4.3,-7.1,0
172.39,29.2,19.8,23.5,-1.42,0.53,26.0,21.7,18.4,14.7,10.4,1.4,-5.1,10.1,1
172.39,29.2,19.8,23.5,-1.42,0.53,26.0,21.7,18.4,14.7,10.4,1.4,-5.1,10.1,0
247.57,29.0,20.0,24.1,-1.33,0.05,26.6,21.6,19.0,14.9,12.8,2.8,-5.1,-7.6,0
247.57,29.0,20.0,24.1,-1.33,0.05,26.6,21.6,19.0,14.9,12.8,2.8,-5.1,-7.6,1
405.22,35.7,21.1,23.9,-1.94,-1.01,26.6,22.6,19.0,16.2,10.2,5.8,-4.9,-6.1,0
405.22,35.7,21.1,23.9,-1.94,-1.01,26.6,22.6,19.0,16.2,10.2,5.8,-4.9,-6.1,0
0.0,33.1,18.3,24.3,0.65,1.3,27.2,20.2,19.8,13.8,10.6,5.6,-4.5,-9.3,1
0.0,33.1,18.3,24.3,0.65,1.3,27.2,20.2,19.8,13.8,10.6,5.6,-4.5,-9.3,0
5.2,33.8,18.9,22.1,1.06,1.18,27.2,21.2,19.0,15.8,11.0,6.9,-3.1,11.1,0
5.2,33.8,18.9,22.1,1.06,1.18,27.2,21.2,19.0,15.8,11.0,6.9,-3.1,11.1,1
52.83,35.1,18.2,22.3,-0.45,2.11,26.4,21.4,18.4,14.3,10.2,8.7,-3.9,-6.1,1
52.83,35.1,18.2,22.3,-0.45,2.11,26.4,21.4,18.4,14.3,10.2,8.7,-3.9,-6.1,0
50.14,35.0,20.0,22.9,-0.31,0.26,26.2,21.3,18.6,15.7,11.0,7.4,-4.3,-6.4,1
50.14,35.0,20.0,22.9,-0.31,0.26,26.2,21.3,18.6,15.7,11.0,7.4,-4.3,-6.4,1
119.61,35.9,19.9,24.9,-0.89,-0.47,25.8,22.0,20.4,15.4,10.2,5.8,-4.5,-4.6,0
119.61,35.9,19.9,24.9,-0.89,-0.47,25.8,22.0,20.4,15.4,10.2,5.8,-4.5,-4.6,0
34.08,32.2,17.7,22.7,0.49,2.22,26.2,21.4,19.2,14.2,10.4,5.7,-3.5,10.5,0
34.08,32.2,17.7,22.7,0.49,2.22,26.2,21.4,19.2,14.2,10.4,5.7,-3.5,10.5,0
91.71,30.5,18.3,23.3,-0.39,1.62,28.0,21.0,19.2,14.2,11.6,4.6,-4.1,-7.4,1
91.71,30.5,18.3,23.3,-0.39,1.62,28.0,21.0,19.2,14.2,11.6,4.6,-4.1,-7.4,0
558.61,35.5,19.8,23.1,-1.92,0.19,27.4,23.1,19.2,15.9,10.2,6.7,-3.9,-5.2,1
558.61,35.5,19.8,23.1,-1.92,0.19,27.4,23.1,19.2,15.9,10.2,6.7,-3.9,-5.2,0
475.61,37.4,18.3,24.3,-1.16,0.91,26.6,22.9,20.8,14.8,10.4,8.7,-3.5,18.5,1
475.61,37.4,18.3,24.3,-1.16,0.91,26.6,22.9,20.8,14.8,10.4,8.7,-3.5,18.5,0
264.83,34.6,21.0,25.1,-2.2,-1.2,26.8,22.3,19.6,15.5,11.4,5.4,-5.5,-6.0,1
264.83,34.6,21.0,25.1,-2.2,-1.2,26.8,22.3,19.6,15.5,11.4,5.4,-5.5,-6.0,1
185.25,35.6,19.8,24.1,-1.36,0.33,26.2,22.4,18.8,14.5,10.2,7.2,-5.3,-6.3,1
185.25,35.6,19.8,24.1,-1.36,0.33,26.2,22.4,18.8,14.5,10.2,7.2,-5.3,-6.3,0
94.49,32.4,18.2,22.9,-0.08,1.74,26.6,20.6,19.2,14.5,10.8,5.8,-3.7,18.7,1
94.49,32.4,18.2,22.9,-0.08,1.74,26.6,20.6,19.2,14.5,10.8,5.8,-3.7,18.7,1
187.7,23.9,16.7,24.7,-2.29,2.91,25.6,22.5,19.2,11.2,11.0,-1.0,-5.5,-6.1,1
141.02,35.8,18.1,24.1,-0.79,1.5,26.6,22.0,19.8,13.8,9.4,7.3,-4.3,-7.7,1
141.02,35.8,18.1,24.1,-0.79,1.5,26.6,22.0,19.8,13.8,9.4,7.3,-4.3,-7.7,0
902.08,35.3,18.9,23.9,-2.88,0.94,27.4,22.8,19.4,14.4,10.2,7.2,-4.5,11.5,1
902.08,35.3,18.9,23.9,-2.88,0.94,27.4,22.8,19.4,14.4,10.2,7.2,-4.5,11.5,0
0.0,26.7,14.9,24.9,1.55,3.83,26.4,20.4,20.8,10.8,11.4,2.4,-4.1,17.1,0
0.0,26.7,14.9,24.9,1.55,3.83,26.4,20.4,20.8,10.8,11.4,2.4,-4.1,17.1,0
1148.13,27.9,14.5,24.5,-2.62,4.37,26.6,22.5,20.4,10.4,10.8,3.8,-4.1,20.1,0
1148.13,27.9,14.5,24.5,-2.62,4.37,26.6,22.5,20.4,10.4,10.8,3.8,-4.1,20.1,0
474.34,28.9,16.1,23.1,-0.86,3.41,26.6,21.9,19.8,12.8,11.0,4.0,-3.3,19.3,0
474.34,28.9,16.1,23.1,-0.86,3.41,26.6,21.9,19.8,12.8,11.0,4.0,-3.3,19.3,1
419.64,33.5,20.3,24.1,-2.16,-0.32,25.0,23.2,19.2,15.4,10.6,4.6,-4.9,16.9,0
419.64,33.5,20.3,24.1,-2.16,-0.32,25.0,23.2,19.2,15.4,10.6,4.6,-4.9,16.9,0
45.2,27.7,16.5,23.5,-0.53,3.24,26.2,21.8,19.2,12.2,11.2,3.2,-4.3,-8.3,0
45.2,27.7,16.5,23.5,-0.53,3.24,26.2,21.8,19.2,12.2,11.2,3.2,-4.3,-8.3,0
262.24,30.4,19.8,23.5,-1.41,0.01,26.6,22.5,19.6,15.9,12.2,3.2,-3.9,-7.3,0
262.24,30.4,19.8,23.5,-1.41,0.01,26.6,22.5,19.6,15.9,12.2,3.2,-3.9,-7.3,0
304.13,32.6,20.2,24.9,-2.87,-0.35,25.8,22.6,19.4,14.7,12.2,5.2,-5.5,-6.0,1
304.13,32.6,20.2,24.9,-2.87,-0.35,25.8,22.6,19.4,14.7,12.2,5.2,-5.5,-6.0,0
296.02,31.3,17.3,23.3,-1.5,2.7,26.8,23.3,18.8,12.8,10.6,5.8,-4.5,-5.0,1
296.02,31.3,17.3,23.3,-1.5,2.7,26.8,23.3,18.8,12.8,10.6,5.8,-4.5,-5.0,0
0.0,32.4,18.0,22.9,1.1,1.84,27.2,20.2,19.4,14.5,11.8,6.8,-3.5,10.5,0
0.0,32.4,18.0,22.9,1.1,1.84,27.2,20.2,19.4,14.5,11.8,6.8,-3.5,10.5,0
19.73,6.5,9.1,23.1,0.74,8.83,27.2,22.6,20.4,6.4,13.2,-9.8,-2.7,27.7,0
19.73,6.5,9.1,23.1,0.74,8.83,27.2,22.6,20.4,6.4,13.2,-9.8,-2.7,27.7,0
32.38,21.1,16.5,22.5,0.07,3.18,27.8,22.8,19.6,13.6,12.8,-2.2,-2.9,15.9,0
32.38,21.1,16.5,22.5,0.07,3.18,27.8,22.8,19.6,13.6,12.8,-2.2,-2.9,15.9,0
79.02,33.9,18.5,23.5,0.01,0.93,28.0,22.0,20.4,15.4,11.2,6.2,-3.1,17.1,0
79.02,33.9,18.5,23.5,0.01,0.93,28.0,22.0,20.4,15.4,11.2,6.2,-3.1,17.1,0
114.23,35.7,19.3,22.3,-0.42,0.78,27.6,21.6,19.0,16.0,10.8,8.2,-3.3,13.3,1
114.23,35.7,19.3,22.3,-0.42,0.78,27.6,21.6,19.0,16.0,10.8,8.2,-3.3,13.3,1
166.7,35.1,18.5,23.3,0.13,1.18,27.4,21.4,19.8,15.0,10.6,7.4,-3.5,16.5,1
166.7,35.1,18.5,23.3,0.13,1.18,27.4,21.4,19.8,15.0,10.6,7.4,-3.5,16.5,0
166.64,35.3,19.5,23.9,-0.38,0.03,27.0,22.0,20.2,15.8,10.4,6.0,-3.7,23.7,1
3.83,26.9,15.9,23.9,0.41,3.78,25.4,19.4,19.0,11.0,10.2,2.2,-4.9,17.9,0
3.83,26.9,15.9,23.9,0.41,3.78,25.4,19.4,19.0,11.0,10.2,2.2,-4.9,17.9,0
4.51,12.5,16.1,23.1,1.55,3.56,26.0,20.0,19.4,12.4,11.6,11.4,-3.7,18.7,0
4.51,12.5,16.1,23.1,1.55,3.56,26.0,20.0,19.4,12.4,11.6,11.4,-3.7,18.7,0
49.97,23.3,17.9,24.9,-1.14,1.76,26.6,20.6,19.4,12.4,11.0,-3.0,-5.5,-8.4,0
49.97,23.3,17.9,24.9,-1.14,1.76,26.6,20.6,19.4,12.4,11.0,-3.0,-5.5,-8.4,0
62.66,32.9,20.3,23.9,-1.07,-0.06,26.6,20.6,18.6,15.0,10.2,4.2,-5.3,17.3,1
62.66,32.9,20.3,23.9,-1.07,-0.06,26.6,20.6,18.6,15.0,10.2,4.2,-5.3,17.3,0
436.72,31.7,20.5,22.1,-1.51,0.42,25.4,22.3,17.2,15.6,9.8,3.8,-4.9,-8.8,1
436.72,31.7,20.5,22.1,-1.51,0.42,25.4,22.3,17.2,15.6,9.8,3.8,-4.9,-8.8,1
398.56,29.4,19.8,24.7,-2.65,0.38,26.2,22.4,18.6,13.7,10.0,1.0,-6.1,-9.8,1
398.56,29.4,19.8,24.7,-2.65,0.38,26.2,22.4,18.6,13.7,10.0,1.0,-6.1,-9.8,0
0.0,23.1,17.5,23.5,0.33,2.58,26.8,18.8,18.6,12.6,9.2,-3.8,-4.9,33.9,0
0.0,23.1,17.5,23.5,0.33,2.58,26.8,18.8,18.6,12.6,9.2,-3.8,-4.9,33.9,0
75.26,8.7,13.9,23.9,-0.51,5.5,25.6,20.6,18.8,8.8,12.0,12.0,-5.1,32.1,0
75.26,8.7,13.9,23.9,-0.51,5.5,25.6,20.6,18.8,8.8,12.0,12.0,-5.1,32.1,0
